timestep,SE1,SE2,SE3,SE4
2024-01-08 00:00:00,1365.0,1576.0,13505.0,3364.0
2024-01-08 01:00:00,1397.0,1486.0,13568.0,3492.0
2024-01-08 02:00:00,1224.0,1584.0,13644.0,3504.0
2024-01-08 03:00:00,1347.0,1545.0,13724.0,3526.0
2024-01-08 04:00:00,1415.0,1349.0,14053.0,3681.0
2024-01-08 05:00:00,1521.0,1312.0,15046.0,4002.0
2024-01-08 06:00:00,1603.0,1431.0,16034.0,4385.0
2024-01-08 07:00:00,1618.0,1979.0,16287.0,4571.0
2024-01-08 08:00:00,1265.0,2078.0,16114.0,4650.0
2024-01-08 09:00:00,1215.0,1973.0,16098.0,4522.0
2024-01-08 10:00:00,1202.0,2227.0,15793.0,4331.0
2024-01-08 11:00:00,1379.0,2126.0,15559.0,4191.0
2024-01-08 12:00:00,1521.0,2037.0,15428.0,4087.0
2024-01-08 13:00:00,1460.0,1615.0,15435.0,4064.0
2024-01-08 14:00:00,1323.0,1628.0,15564.0,4210.0
2024-01-08 15:00:00,1197.0,1435.0,15699.0,4329.0
2024-01-08 16:00:00,1278.0,1466.0,15810.0,4422.0
2024-01-08 17:00:00,1286.0,1632.0,15624.0,4354.0
2024-01-08 18:00:00,1373.0,1702.0,15287.0,4285.0
2024-01-08 19:00:00,1504.0,1715.0,14839.0,4227.0
2024-01-08 20:00:00,1618.0,1504.0,14207.0,4156.0
2024-01-08 21:00:00,1524.0,1410.0,13459.0,4080.0
2024-01-08 22:00:00,1449.0,2227.0,13037.0,3904.0
2024-01-08 23:00:00,1289.0,2174.0,12929.0,3680.0
2024-01-09 00:00:00,1160.0,2228.0,12771.0,3638.0
2024-01-09 01:00:00,1255.0,2340.0,12633.0,3585.0
2024-01-09 02:00:00,1352.0,2318.0,12534.0,3491.0
2024-01-09 03:00:00,1336.0,2227.0,12429.0,3443.0
2024-01-09 04:00:00,1407.0,2281.0,12654.0,3494.0
2024-01-09 05:00:00,1477.0,2425.0,13623.0,3837.0
2024-01-09 06:00:00,1644.0,2499.0,14486.0,4097.0
2024-01-09 07:00:00,1400.0,2480.0,14601.0,4174.0
2024-01-09 08:00:00,1397.0,2460.0,14548.0,4167.0
2024-01-09 09:00:00,1391.0,2450.0,14403.0,4179.0
2024-01-09 10:00:00,1463.0,2305.0,14184.0,4138.0
2024-01-09 11:00:00,1485.0,2396.0,13987.0,4077.0
2024-01-09 12:00:00,1441.0,2333.0,13827.0,4093.0
2024-01-09 13:00:00,1445.0,2341.0,13845.0,4146.0
2024-01-09 14:00:00,1271.0,2389.0,14054.0,4136.0
2024-01-09 15:00:00,1299.0,2518.0,14277.0,4193.0
2024-01-09 16:00:00,1419.0,2278.0,14420.0,4217.0
2024-01-09 17:00:00,1173.0,2392.0,14237.0,4169.0
2024-01-09 18:00:00,1056.0,2447.0,13695.0,4044.0
2024-01-09 19:00:00,931.0,2230.0,13218.0,3879.0
2024-01-09 20:00:00,1198.0,2299.0,12680.0,3732.0
2024-01-09 21:00:00,1384.0,2349.0,12207.0,3557.0
2024-01-09 22:00:00,1316.0,2311.0,11733.0,3402.0
2024-01-09 23:00:00,1177.0,2142.0,11557.0,3329.0
2024-01-10 00:00:00,1351.0,2139.0,11348.0,3288.0
2024-01-10 01:00:00,1344.0,2139.0,11374.0,3198.0
2024-01-10 02:00:00,1108.0,2016.0,11302.0,3177.0
2024-01-10 03:00:00,1094.0,2122.0,11439.0,3222.0
2024-01-10 04:00:00,1212.0,2290.0,11709.0,3355.0
2024-01-10 05:00:00,1200.0,2299.0,12843.0,3707.0
