timestep,SE1,SE2,SE3,SE4
2024-07-15 00:00:00,823.0,1469.0,5933.0,1598.0
2024-07-15 01:00:00,843.0,1429.0,5801.0,1584.0
2024-07-15 02:00:00,882.0,1336.0,5732.0,1594.0
2024-07-15 03:00:00,897.0,1174.0,5901.0,1528.0
2024-07-15 04:00:00,849.0,1269.0,6393.0,1581.0
2024-07-15 05:00:00,914.0,1252.0,6997.0,1872.0
2024-07-15 06:00:00,953.0,1334.0,7435.0,2111.0
2024-07-15 07:00:00,1038.0,1450.0,7636.0,2141.0
2024-07-15 08:00:00,1073.0,1420.0,7705.0,2103.0
2024-07-15 09:00:00,1058.0,1404.0,7740.0,1991.0
2024-07-15 10:00:00,1025.0,1249.0,7649.0,1947.0
2024-07-15 11:00:00,1072.0,1268.0,7677.0,1967.0
2024-07-15 12:00:00,1090.0,1309.0,7634.0,1888.0
2024-07-15 13:00:00,1038.0,1495.0,7418.0,1997.0
2024-07-15 14:00:00,1046.0,1209.0,7456.0,2031.0
2024-07-15 15:00:00,948.0,1328.0,7730.0,2134.0
2024-07-15 16:00:00,990.0,1434.0,7760.0,2123.0
2024-07-15 17:00:00,919.0,1315.0,7716.0,2057.0
2024-07-15 18:00:00,835.0,1096.0,7504.0,1992.0
2024-07-15 19:00:00,883.0,1128.0,7210.0,1899.0
2024-07-15 20:00:00,942.0,1406.0,6943.0,1811.0
2024-07-15 21:00:00,968.0,1595.0,6611.0,1652.0
2024-07-15 22:00:00,950.0,1316.0,6332.0,1641.0
2024-07-15 23:00:00,939.0,1118.0,6127.0,1673.0
2024-07-16 00:00:00,887.0,1219.0,6010.0,1668.0
2024-07-16 01:00:00,868.0,1124.0,5940.0,1638.0
2024-07-16 02:00:00,893.0,1139.0,5862.0,1600.0
2024-07-16 03:00:00,961.0,1252.0,5969.0,1557.0
2024-07-16 04:00:00,996.0,1362.0,6281.0,1609.0
2024-07-16 05:00:00,956.0,1426.0,6800.0,1741.0
2024-07-16 06:00:00,1002.0,1585.0,7067.0,1931.0
2024-07-16 07:00:00,1037.0,1574.0,7320.0,2066.0
2024-07-16 08:00:00,986.0,1529.0,7453.0,2025.0
2024-07-16 09:00:00,998.0,1384.0,7472.0,2061.0
2024-07-16 10:00:00,1069.0,1354.0,7428.0,2139.0
2024-07-16 11:00:00,980.0,1423.0,7400.0,2113.0
2024-07-16 12:00:00,922.0,1331.0,7444.0,2154.0
2024-07-16 13:00:00,890.0,1224.0,7493.0,2191.0
2024-07-16 14:00:00,815.0,1435.0,7546.0,2068.0
2024-07-16 15:00:00,959.0,1600.0,7765.0,2025.0
2024-07-16 16:00:00,949.0,1572.0,7792.0,2161.0
2024-07-16 17:00:00,911.0,1525.0,7768.0,2176.0
2024-07-16 18:00:00,795.0,1641.0,7555.0,2020.0
2024-07-16 19:00:00,952.0,1682.0,7291.0,1973.0
2024-07-16 20:00:00,851.0,1498.0,6999.0,1965.0
2024-07-16 21:00:00,907.0,1230.0,6655.0,1796.0
2024-07-16 22:00:00,982.0,1357.0,6346.0,1669.0
2024-07-16 23:00:00,890.0,1352.0,6147.0,1617.0
2024-07-17 00:00:00,842.0,1219.0,5936.0,1630.0
2024-07-17 01:00:00,866.0,1191.0,5818.0,1639.0
2024-07-17 02:00:00,911.0,1175.0,5719.0,1598.0
2024-07-17 03:00:00,865.0,1108.0,5716.0,1571.0
2024-07-17 04:00:00,897.0,1083.0,6080.0,1666.0
2024-07-17 05:00:00,978.0,1002.0,6704.0,1828.0
2024-07-17 06:00:00,955.0,1038.0,7241.0,2008.0
2024-07-17 07:00:00,943.0,1339.0,7574.0,2054.0
2024-07-17 08:00:00,915.0,1577.0,7871.0,1951.0
2024-07-17 09:00:00,963.0,1678.0,7947.0,1888.0
2024-07-17 10:00:00,932.0,1256.0,7955.0,1975.0
2024-07-17 11:00:00,793.0,1254.0,7867.0,1942.0
2024-07-17 12:00:00,829.0,1603.0,7602.0,1901.0
2024-07-17 13:00:00,931.0,1747.0,7467.0,2029.0
2024-07-17 14:00:00,1014.0,1647.0,7400.0,2018.0
2024-07-17 15:00:00,994.0,1515.0,7436.0,2010.0
2024-07-17 16:00:00,976.0,1588.0,7450.0,2007.0
2024-07-17 17:00:00,973.0,1527.0,7436.0,1990.0
2024-07-17 18:00:00,906.0,1559.0,7271.0,2002.0
2024-07-17 19:00:00,880.0,1639.0,7048.0,1802.0
2024-07-17 20:00:00,919.0,1696.0,6947.0,1656.0
2024-07-17 21:00:00,960.0,1629.0,6698.0,1636.0
2024-07-17 22:00:00,947.0,1296.0,6506.0,1557.0
2024-07-17 23:00:00,930.0,1300.0,6209.0,1538.0
2024-07-18 00:00:00,807.0,1336.0,6020.0,1546.0
2024-07-18 01:00:00,595.0,1414.0,5976.0,1590.0
2024-07-18 02:00:00,753.0,1298.0,5807.0,1487.0
2024-07-18 03:00:00,879.0,1214.0,5831.0,1498.0
2024-07-18 04:00:00,961.0,1191.0,6195.0,1598.0
2024-07-18 05:00:00,803.0,1194.0,6704.0,1784.0
2024-07-18 06:00:00,499.0,1345.0,7251.0,1926.0
2024-07-18 07:00:00,784.0,1360.0,7515.0,1960.0
2024-07-18 08:00:00,1040.0,1380.0,7577.0,1971.0
2024-07-18 09:00:00,1134.0,1509.0,7512.0,2000.0
2024-07-18 10:00:00,1194.0,1586.0,7350.0,2121.0
2024-07-18 11:00:00,1166.0,1415.0,7332.0,2070.0
2024-07-18 12:00:00,1155.0,1240.0,7342.0,2036.0
2024-07-18 13:00:00,1089.0,1377.0,7277.0,2078.0
2024-07-18 14:00:00,1063.0,1237.0,7325.0,2038.0
2024-07-18 15:00:00,980.0,1376.0,7366.0,2039.0
2024-07-18 16:00:00,898.0,1239.0,7201.0,2029.0
2024-07-18 17:00:00,924.0,1149.0,7201.0,2011.0
2024-07-18 18:00:00,898.0,1181.0,7218.0,2032.0
2024-07-18 19:00:00,927.0,1272.0,6974.0,1904.0
2024-07-18 20:00:00,921.0,1246.0,6855.0,1876.0
2024-07-18 21:00:00,843.0,1161.0,6524.0,1706.0
