timestep,line,flow_mw,capacity_mw,utilization_pct
t0001,L_SE1_SE2,326.89,3300.0,9.91
t0001,L_SE2_SE3,6998.45,7300.0,95.87
t0001,L_SE3_SE4,4292.8,5300.0,81.0
t0001,L_NO1_SE3,-2145.0,2145.0,100.0
t0001,L_NO3_SE2,1000.0,1000.0,100.0
t0001,L_NO4_SE1,600.0,600.0,100.0
t0001,L_FI_SE1,-1500.0,1500.0,100.0
t0001,L_DK1_SE3,-740.0,740.0,100.0
t0001,L_DK2_SE4,-1700.0,1700.0,100.0
t0001,L_PL_SE4,-600.0,600.0,100.0
t0001,L_LT_SE4,-700.0,700.0,100.0
t0001,L_DE_SE4,-615.0,615.0,100.0
t0002,L_SE1_SE2,370.68,3300.0,11.23
t0002,L_SE2_SE3,6882.31,7300.0,94.28
t0002,L_SE3_SE4,4310.15,5300.0,81.32
t0002,L_NO1_SE3,-2145.0,2145.0,100.0
t0002,L_NO3_SE2,1000.0,1000.0,100.0
t0002,L_NO4_SE1,600.0,600.0,100.0
t0002,L_FI_SE1,-1500.0,1500.0,100.0
t0002,L_DK1_SE3,-740.0,740.0,100.0
t0002,L_DK2_SE4,-1700.0,1700.0,100.0
t0002,L_PL_SE4,-600.0,600.0,100.0
t0002,L_LT_SE4,-700.0,700.0,100.0
t0002,L_DE_SE4,-615.0,615.0,100.0
t0003,L_SE1_SE2,366.86,3300.0,11.12
t0003,L_SE2_SE3,6646.26,7300.0,91.04
t0003,L_SE3_SE4,4309.6,5300.0,81.31
t0003,L_NO1_SE3,-2145.0,2145.0,100.0
t0003,L_NO3_SE2,1000.0,1000.0,100.0
t0003,L_NO4_SE1,600.0,600.0,100.0
t0003,L_FI_SE1,-1500.0,1500.0,100.0
t0003,L_DK1_SE3,-740.0,740.0,100.0
t0003,L_DK2_SE4,-1700.0,1700.0,100.0
t0003,L_PL_SE4,-600.0,600.0,100.0
t0003,L_LT_SE4,-700.0,700.0,100.0
t0003,L_DE_SE4,-615.0,615.0,100.0
t0004,L_SE1_SE2,704.85,3300.0,21.36
t0004,L_SE2_SE3,6934.24,7300.0,94.99
t0004,L_SE3_SE4,4262.04,5300.0,80.42
t0004,L_NO1_SE3,-2145.0,2145.0,100.0
t0004,L_NO3_SE2,1000.0,1000.0,100.0
t0004,L_NO4_SE1,600.0,600.0,100.0
t0004,L_FI_SE1,-1500.0,1500.0,100.0
t0004,L_DK1_SE3,-740.0,740.0,100.0
t0004,L_DK2_SE4,-1700.0,1700.0,100.0
t0004,L_PL_SE4,-600.0,600.0,100.0
t0004,L_LT_SE4,-700.0,700.0,100.0
t0004,L_DE_SE4,-615.0,615.0,100.0
t0005,L_SE1_SE2,818.78,3300.0,24.81
t0005,L_SE2_SE3,7049.26,7300.0,96.57
t0005,L_SE3_SE4,4469.42,5300.0,84.33
t0005,L_NO1_SE3,-2145.0,2145.0,100.0
t0005,L_NO3_SE2,1000.0,1000.0,100.0
t0005,L_NO4_SE1,600.0,600.0,100.0
t0005,L_FI_SE1,-1500.0,1500.0,100.0
t0005,L_DK1_SE3,-740.0,740.0,100.0
t0005,L_DK2_SE4,-1700.0,1700.0,100.0
t0005,L_PL_SE4,-600.0,600.0,100.0
t0005,L_LT_SE4,-700.0,700.0,100.0
t0005,L_DE_SE4,-615.0,615.0,100.0
t0006,L_SE1_SE2,752.72,3300.0,22.81
t0006,L_SE2_SE3,7300.0,7300.0,100.0
t0006,L_SE3_SE4,4509.29,5300.0,85.08
t0006,L_NO1_SE3,-2145.0,2145.0,100.0
t0006,L_NO3_SE2,1000.0,1000.0,100.0
t0006,L_NO4_SE1,600.0,600.0,100.0
t0006,L_FI_SE1,-1500.0,1500.0,100.0
t0006,L_DK1_SE3,-740.0,740.0,100.0
t0006,L_DK2_SE4,-1700.0,1700.0,100.0
t0006,L_PL_SE4,-600.0,600.0,100.0
t0006,L_LT_SE4,-700.0,700.0,100.0
t0006,L_DE_SE4,-615.0,615.0,100.0
t0007,L_SE1_SE2,1120.28,3300.0,33.95
t0007,L_SE2_SE3,7300.0,7300.0,100.0
t0007,L_SE3_SE4,4662.14,5300.0,87.96
t0007,L_NO1_SE3,-1136.28,2145.0,52.97
t0007,L_NO3_SE2,964.19,1000.0,96.42
