timestep,zone,price_eur_mwh
t0001,SE1,35.0
t0001,SE2,35.0
t0001,SE3,40.0
t0001,SE4,40.0
t0002,SE1,40.0
t0002,SE2,35.0
t0002,SE3,40.0
t0002,SE4,40.0
t0003,SE1,40.0
t0003,SE2,35.0
t0003,SE3,40.0
t0003,SE4,40.0
t0004,SE1,40.0
t0004,SE2,35.0
t0004,SE3,40.0
t0004,SE4,40.0
t0005,SE1,40.0
t0005,SE2,35.0
t0005,SE3,40.0
t0005,SE4,40.0
t0006,SE1,35.0
t0006,SE2,35.0
t0006,SE3,40.0
t0006,SE4,50.0
t0007,SE1,0.5
t0007,SE2,0.5
t0007,SE3,40.0
t0007,SE4,50.0
t0008,SE1,0.5
t0008,SE2,35.0
t0008,SE3,40.0
t0008,SE4,50.0
t0009,SE1,40.0
t0009,SE2,40.0
t0009,SE3,40.0
t0009,SE4,50.0
t0010,SE1,40.0
t0010,SE2,40.0
t0010,SE3,40.0
t0010,SE4,50.0
t0011,SE1,40.0
t0011,SE2,40.0
t0011,SE3,40.0
t0011,SE4,50.0
t0012,SE1,35.0
t0012,SE2,35.0
t0012,SE3,40.0
t0012,SE4,50.0
t0013,SE1,35.0
t0013,SE2,35.0
t0013,SE3,40.0
t0013,SE4,50.0
t0014,SE1,40.0
t0014,SE2,40.0
t0014,SE3,40.0
t0014,SE4,50.0
t0015,SE1,40.0
t0015,SE2,40.0
t0015,SE3,40.0
t0015,SE4,50.0
t0016,SE1,40.0
t0016,SE2,40.0
t0016,SE3,40.0
t0016,SE4,50.0
t0017,SE1,40.0
t0017,SE2,40.0
t0017,SE3,40.0
t0017,SE4,50.0
t0018,SE1,40.0
t0018,SE2,40.0
t0018,SE3,40.0
t0018,SE4,50.0
t0019,SE1,40.0
t0019,SE2,40.0
t0019,SE3,40.0
t0019,SE4,50.0
t0020,SE1,35.0
t0020,SE2,35.0
t0020,SE3,40.0
t0020,SE4,50.0
t0021,SE1,0.5
t0021,SE2,35.0
t0021,SE3,40.0
t0021,SE4,50.0
t0022,SE1,0.5
t0022,SE2,0.5
t0022,SE3,40.0
t0022,SE4,40.0
t0023,SE1,0.5
t0023,SE2,0.5
t0023,SE3,40.0
t0023,SE4,40.0
t0024,SE1,0.5
t0024,SE2,0.5
t0024,SE3,40.0
t0024,SE4,35.0
t0025,SE1,0.5
t0025,SE2,0.5
t0025,SE3,40.0
t0025,SE4,40.0
t0026,SE1,0.5
t0026,SE2,0.5
t0026,SE3,40.0
t0026,SE4,40.0
t0027,SE1,0.5
t0027,SE2,0.5
t0027,SE3,40.0
t0027,SE4,40.0
t0028,SE1,0.5
t0028,SE2,0.5
t0028,SE3,40.0
t0028,SE4,40.0
t0029,SE1,0.5
t0029,SE2,0.5
t0029,SE3,40.0
t0029,SE4,40.0
t0030,SE1,0.5
t0030,SE2,0.5
t0030,SE3,40.0
t0030,SE4,50.0
t0031,SE1,0.5
t0031,SE2,0.5
t0031,SE3,40.0
t0031,SE4,50.0
t0032,SE1,0.5
t0032,SE2,0.5
t0032,SE3,40.0
t0032,SE4,50.0
t0033,SE1,0.5
t0033,SE2,0.5
t0033,SE3,40.0
t0033,SE4,50.0
t0034,SE1,0.5
t0034,SE2,0.5
t0034,SE3,40.0
t0034,SE4,50.0
t0035,SE1,0.5
t0035,SE2,0.5
t0035,SE3,40.0
t0035,SE4,50.0
t0036,SE1,0.5
t0036,SE2,0.5
t0036,SE3,40.0
t0036,SE4,50.0
t0037,SE1,0.5
t0037,SE2,0.5
t0037,SE3,40.0
t0037,SE4,50.0
t0038,SE1,0.5
t0038,SE2,0.5
t0038,SE3,40.0
t0038,SE4,50.0
t0039,SE1,0.5
t0039,SE2,0.5
t0039,SE3,40.0
t0039,SE4,50.0
t0040,SE1,0.5
t0040,SE2,0.5
t0040,SE3,40.0
t0040,SE4,50.0
t0041,SE1,0.5
t0041,SE2,0.5
t0041,SE3,40.0
t0041,SE4,50.0
t0042,SE1,0.5
t0042,SE2,0.5
t0042,SE3,40.0
t0042,SE4,50.0
t0043,SE1,0.5
t0043,SE2,0.5
t0043,SE3,40.0
t0043,SE4,50.0
t0044,SE1,0.5
t0044,SE2,0.5
t0044,SE3,40.0
t0044,SE4,50.0
t0045,SE1,0.5
t0045,SE2,0.5
t0045,SE3,40.0
t0045,SE4,50.0
t0046,SE1,0.5
t0046,SE2,0.5
t0046,SE3,40.0
t0046,SE4,50.0
t0047,SE1,0.5
t0047,SE2,0.5
t0047,SE3,40.0
t0047,SE4,50.0
t0048,SE1,0.5
t0048,SE2,35.0
t0048,SE3,40.0
t0048,SE4,50.0
t0049,SE1,0.5
t0049,SE2,35.0
t0049,SE3,40.0
t0049,SE4,50.0
t0050,SE1,35.0
t0050,SE2,35.0
t0050,SE3,40.0
t0050,SE4,50.0
t0051,SE1,40.0
t0051,SE2,40.0
t0051,SE3,40.0
t0051,SE4,50.0
t0052,SE1,40.0
t0052,SE2,40.0
t0052,SE3,40.0
t0052,SE4,50.0
t0053,SE1,35.0
t0053,SE2,35.0
t0053,SE3,40.0
t0053,SE4,50.0
t0054,SE1,0.5
t0054,SE2,0.5
t0054,SE3,40.0
t0054,SE4,50.0
t0055,SE1,0.5
t0055,SE2,0.5
t0055,SE3,40.0
t0055,SE4,50.0
t0056,SE1,0.5
t0056,SE2,0.5
t0056,SE3,40.0
t0056,SE4,50.0
t0057,SE1,0.5
t0057,SE2,0.5
t0057,SE3,40.0
t0057,SE4,50.0
t0058,SE1,0.5
t0058,SE2,0.5
t0058,SE3,40.0
t0058,SE4,50.0
t0059,SE1,0.5
t0059,SE2,0.5
t0059,SE3,40.0
t0059,SE4,50.0
t0060,SE1,0.5
t0060,SE2,0.5
t0060,SE3,40.0
t0060,SE4,50.0
t0061,SE1,0.5
t0061,SE2,0.5
t0061,SE3,40.0
t0061,SE4,50.0
t0062,SE1,0.5
t0062,SE2,0.5
t0062,SE3,40.0
t0062,SE4,50.0
t0063,SE1,0.5
t0063,SE2,0.5
t0063,SE3,40.0
t0063,SE4,50.0
t0064,SE1,0.5
t0064,SE2,0.5
t0064,SE3,40.0
t0064,SE4,50.0
t0065,SE1,0.5
t0065,SE2,0.5
t0065,SE3,40.0
t0065,SE4,50.0
t0066,SE1,0.5
t0066,SE2,0.5
t0066,SE3,40.0
t0066,SE4,50.0
t0067,SE1,0.5
t0067,SE2,0.5
t0067,SE3,40.0
t0067,SE4,50.0
t0068,SE1,0.5
t0068,SE2,0.5
t0068,SE3,40.0
t0068,SE4,50.0
t0069,SE1,0.5
t0069,SE2,0.5
t0069,SE3,40.0
t0069,SE4,50.0
t0070,SE1,0.5
t0070,SE2,0.5
t0070,SE3,40.0
t0070,SE4,50.0
t0071,SE1,0.5
t0071,SE2,0.5
t0071,SE3,40.0
t0071,SE4,50.0
t0072,SE1,0.5
t0072,SE2,0.5
t0072,SE3,40.0
t0072,SE4,50.0
t0073,SE1,0.5
t0073,SE2,0.5
t0073,SE3,40.0
t0073,SE4,50.0
t0074,SE1,0.5
t0074,SE2,0.5
t0074,SE3,40.0
t0074,SE4,50.0
t0075,SE1,0.5
t0075,SE2,0.5
t0075,SE3,40.0
t0075,SE4,50.0
t0076,SE1,0.5
t0076,SE2,0.5
t0076,SE3,40.0
t0076,SE4,50.0
t0077,SE1,0.5
t0077,SE2,0.5
t0077,SE3,40.0
t0077,SE4,50.0
t0078,SE1,0.5
t0078,SE2,0.5
t0078,SE3,40.0
t0078,SE4,50.0
t0079,SE1,0.5
t0079,SE2,0.5
t0079,SE3,80.0
t0079,SE4,50.0
t0080,SE1,0.5
t0080,SE2,0.5
t0080,SE3,80.0
t0080,SE4,50.0
t0081,SE1,0.5
t0081,SE2,0.5
t0081,SE3,80.0
t0081,SE4,50.0
t0082,SE1,0.5
t0082,SE2,0.5
t0082,SE3,80.0
t0082,SE4,50.0
t0083,SE1,0.5
t0083,SE2,0.5
t0083,SE3,80.0
t0083,SE4,50.0
