timestep,plant,generation_mw
t0001,SE1_hydro,482.21
t0001,SE1_wind,2100.08
t0001,SE1_chp_district,119.2
t0001,SE1_chp_industry,93.6
t0001,SE1_gasturbine,0.0
t0001,SE1_solar,0.0
t0001,SE2_hydro,1791.41
t0001,SE2_wind,4778.95
t0001,SE2_chp_district,0.0
t0001,SE2_chp_industry,423.2
t0001,SE2_gasturbine,0.0
t0001,SE2_solar,0.0
t0001,SE3_hydro,591.14
t0001,SE3_nuclear,5800.03
t0001,SE3_wind,2267.26
t0001,SE3_chp_district,203.53
t0001,SE3_chp_industry,420.0
t0001,SE3_gasturbine,0.0
t0001,SE3_solar,0.19
t0001,SE4_hydro,88.76
t0001,SE4_wind,1112.69
t0001,SE4_chp_district,368.0
t0001,SE4_chp_industry,332.0
t0001,SE4_gasturbine,0.0
t0001,SE4_condensing,0.0
t0001,SE4_solar,0.75
t0002,SE1_hydro,482.21
t0002,SE1_wind,2019.67
t0002,SE1_chp_district,119.2
t0002,SE1_chp_industry,93.6
t0002,SE1_gasturbine,0.0
t0002,SE1_solar,0.0
t0002,SE2_hydro,1794.66
t0002,SE2_wind,4888.77
t0002,SE2_chp_district,185.6
t0002,SE2_chp_industry,423.2
t0002,SE2_gasturbine,0.0
t0002,SE2_solar,0.0
t0002,SE3_hydro,586.47
t0002,SE3_nuclear,5802.11
t0002,SE3_wind,2274.28
t0002,SE3_chp_district,321.19
t0002,SE3_chp_industry,420.0
t0002,SE3_gasturbine,0.0
t0002,SE3_solar,0.19
t0002,SE4_hydro,88.66
t0002,SE4_wind,1114.63
t0002,SE4_chp_district,368.0
t0002,SE4_chp_industry,332.0
t0002,SE4_gasturbine,0.0
t0002,SE4_condensing,0.0
t0002,SE4_solar,0.56
t0003,SE1_hydro,482.21
t0003,SE1_wind,2043.85
t0003,SE1_chp_district,119.2
t0003,SE1_chp_industry,93.6
t0003,SE1_gasturbine,0.0
t0003,SE1_solar,0.0
t0003,SE2_hydro,1819.86
t0003,SE2_wind,4876.34
t0003,SE2_chp_district,185.6
t0003,SE2_chp_industry,423.2
t0003,SE2_gasturbine,0.0
t0003,SE2_solar,0.0
t0003,SE3_hydro,585.17
t0003,SE3_nuclear,5802.8
t0003,SE3_wind,2216.94
t0003,SE3_chp_district,595.64
t0003,SE3_chp_industry,420.0
t0003,SE3_gasturbine,0.0
t0003,SE3_solar,0.19
t0003,SE4_hydro,88.35
t0003,SE4_wind,1103.49
t0003,SE4_chp_district,368.0
t0003,SE4_chp_industry,332.0
t0003,SE4_gasturbine,0.0
t0003,SE4_condensing,0.0
t0003,SE4_solar,0.56
t0004,SE1_hydro,458.69
t0004,SE1_wind,2321.36
t0004,SE1_chp_district,119.2
t0004,SE1_chp_industry,93.6
t0004,SE1_gasturbine,0.0
t0004,SE1_solar,0.0
t0004,SE2_hydro,1851.56
t0004,SE2_wind,4817.63
t0004,SE2_chp_district,185.6
t0004,SE2_chp_industry,423.2
t0004,SE2_gasturbine,0.0
t0004,SE2_solar,0.0
t0004,SE3_hydro,588.55
