timestep,line,flow_mw,capacity_mw,utilization_pct
t0001,L_SE1_SE2,-245.11,3300.0,7.43
t0001,L_SE2_SE3,5426.45,7300.0,74.33
t0001,L_SE3_SE4,677.8,5300.0,12.79
t0001,L_NO4_SE1,-600.0,600.0,100.0
t0001,L_NO3_SE2,-1000.0,1000.0,100.0
t0001,L_NO1_SE3,2145.0,2145.0,100.0
t0001,L_FI_SE1,-91.2,1500.0,6.08
t0001,L_FI_SE3,1591.2,1200.0,100.0
t0001,L_DK1_SE3,740.0,740.0,100.0
t0001,L_DK2_SE4,1700.0,1700.0,100.0
t0001,L_PL_SE4,600.0,600.0,100.0
t0001,L_LT_SE4,700.0,700.0,100.0
t0001,L_DE_SE4,615.0,615.0,100.0
t0002,L_SE1_SE2,-310.04,3300.0,9.4
t0002,L_SE2_SE3,5387.2,7300.0,73.8
t0002,L_SE3_SE4,695.15,5300.0,13.12
t0002,L_NO4_SE1,-600.0,600.0,100.0
t0002,L_NO3_SE2,-1000.0,1000.0,100.0
t0002,L_NO1_SE3,2145.0,2145.0,100.0
t0002,L_FI_SE1,-80.71,1500.0,5.38
t0002,L_FI_SE3,1580.71,1200.0,100.0
t0002,L_DK1_SE3,740.0,740.0,100.0
t0002,L_DK2_SE4,1700.0,1700.0,100.0
t0002,L_PL_SE4,600.0,600.0,100.0
t0002,L_LT_SE4,700.0,700.0,100.0
t0002,L_DE_SE4,615.0,615.0,100.0
t0003,L_SE1_SE2,-283.18,3300.0,8.58
t0003,L_SE2_SE3,5181.82,7300.0,70.98
t0003,L_SE3_SE4,694.6,5300.0,13.11
t0003,L_NO4_SE1,-600.0,600.0,100.0
t0003,L_NO3_SE2,-1000.0,1000.0,100.0
t0003,L_NO1_SE3,2145.0,2145.0,100.0
t0003,L_FI_SE1,-50.04,1500.0,3.34
t0003,L_FI_SE3,1550.04,1200.0,100.0
t0003,L_DK1_SE3,740.0,740.0,100.0
t0003,L_DK2_SE4,1700.0,1700.0,100.0
t0003,L_PL_SE4,600.0,600.0,100.0
t0003,L_LT_SE4,700.0,700.0,100.0
t0003,L_DE_SE4,615.0,615.0,100.0
t0004,L_SE1_SE2,-0.59,3300.0,0.02
t0004,L_SE2_SE3,5414.4,7300.0,74.17
t0004,L_SE3_SE4,647.04,5300.0,12.21
t0004,L_NO4_SE1,-600.0,600.0,100.0
t0004,L_NO3_SE2,-1000.0,1000.0,100.0
t0004,L_NO1_SE3,2145.0,2145.0,100.0
t0004,L_FI_SE1,-105.44,1500.0,7.03
t0004,L_FI_SE3,1605.44,1200.0,100.0
t0004,L_DK1_SE3,740.0,740.0,100.0
t0004,L_DK2_SE4,1700.0,1700.0,100.0
t0004,L_PL_SE4,600.0,600.0,100.0
t0004,L_LT_SE4,700.0,700.0,100.0
