timestep,line,flow_mw,capacity_mw,utilization_pct
2024-01-08 00:00:00,L_SE1_SE2,2550.2,3300.0,77.28
2024-01-08 00:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-01-08 00:00:00,L_SE3_SE4,5300.0,5300.0,100.0
2024-01-08 00:00:00,L_NO1_SE3,1929.79,2145.0,89.97
2024-01-08 00:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-01-08 00:00:00,L_NO4_SE1,536.54,600.0,89.42
2024-01-08 00:00:00,L_FI_SE1,-1500.0,1500.0,100.0
2024-01-08 00:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-01-08 00:00:00,L_DK2_SE4,-1595.94,1700.0,93.88
2024-01-08 00:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-01-08 00:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-01-08 00:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-01-08 01:00:00,L_SE1_SE2,2394.98,3300.0,72.58
2024-01-08 01:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-01-08 01:00:00,L_SE3_SE4,5300.0,5300.0,100.0
2024-01-08 01:00:00,L_NO1_SE3,1933.85,2145.0,90.16
2024-01-08 01:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-01-08 01:00:00,L_NO4_SE1,317.68,600.0,52.95
2024-01-08 01:00:00,L_FI_SE1,-1500.0,1500.0,100.0
2024-01-08 01:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-01-08 01:00:00,L_DK2_SE4,-1400.32,1700.0,82.37
2024-01-08 01:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-01-08 01:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-01-08 01:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-01-08 02:00:00,L_SE1_SE2,2403.93,3300.0,72.85
2024-01-08 02:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-01-08 02:00:00,L_SE3_SE4,5300.0,5300.0,100.0
2024-01-08 02:00:00,L_NO1_SE3,1993.45,2145.0,92.93
2024-01-08 02:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-01-08 02:00:00,L_NO4_SE1,226.69,600.0,37.78
2024-01-08 02:00:00,L_FI_SE1,-1500.0,1500.0,100.0
2024-01-08 02:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-01-08 02:00:00,L_DK2_SE4,-1327.51,1700.0,78.09
2024-01-08 02:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-01-08 02:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-01-08 02:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-01-08 03:00:00,L_SE1_SE2,2399.02,3300.0,72.7
2024-01-08 03:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-01-08 03:00:00,L_SE3_SE4,5300.0,5300.0,100.0
2024-01-08 03:00:00,L_NO1_SE3,2008.55,2145.0,93.64
2024-01-08 03:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-01-08 03:00:00,L_NO4_SE1,182.29,600.0,30.38
2024-01-08 03:00:00,L_FI_SE1,-1500.0,1500.0,100.0
2024-01-08 03:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-01-08 03:00:00,L_DK2_SE4,-1238.81,1700.0,72.87
2024-01-08 03:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-01-08 03:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-01-08 03:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-01-08 04:00:00,L_SE1_SE2,2083.3,3300.0,63.13
2024-01-08 04:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-01-08 04:00:00,L_SE3_SE4,5300.0,5300.0,100.0
2024-01-08 04:00:00,L_NO1_SE3,2145.0,2145.0,100.0
2024-01-08 04:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-01-08 04:00:00,L_NO4_SE1,-71.31,600.0,11.89
2024-01-08 04:00:00,L_FI_SE1,-1500.0,1500.0,100.0
2024-01-08 04:00:00,L_DK1_SE3,-609.13,740.0,82.31
2024-01-08 04:00:00,L_DK2_SE4,-1019.05,1700.0,59.94
2024-01-08 04:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-01-08 04:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-01-08 04:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-01-08 05:00:00,L_SE1_SE2,1345.86,3300.0,40.78
2024-01-08 05:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-01-08 05:00:00,L_SE3_SE4,5300.0,5300.0,100.0
2024-01-08 05:00:00,L_NO1_SE3,2145.0,2145.0,100.0
2024-01-08 05:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-01-08 05:00:00,L_NO4_SE1,-297.97,600.0,49.66
2024-01-08 05:00:00,L_FI_SE1,-1500.0,1500.0,100.0
2024-01-08 05:00:00,L_DK1_SE3,131.0,740.0,17.7
2024-01-08 05:00:00,L_DK2_SE4,-643.01,1700.0,37.82
2024-01-08 05:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-01-08 05:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-01-08 05:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-01-08 06:00:00,L_SE1_SE2,1237.57,3300.0,37.5
2024-01-08 06:00:00,L_SE2_SE3,7300.0,7300.0,100.0
2024-01-08 06:00:00,L_SE3_SE4,5300.0,5300.0,100.0
2024-01-08 06:00:00,L_NO1_SE3,2145.0,2145.0,100.0
2024-01-08 06:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-01-08 06:00:00,L_NO4_SE1,-207.91,600.0,34.65
2024-01-08 06:00:00,L_FI_SE1,-1500.0,1500.0,100.0
2024-01-08 06:00:00,L_DK1_SE3,687.6,740.0,92.92
2024-01-08 06:00:00,L_DK2_SE4,-186.42,1700.0,10.97
2024-01-08 06:00:00,L_PL_SE4,-600.0,600.0,100.0
