timestep,neighbor,flow_mw,direction,cost_eur
2024-01-08 00:00:00,NO1,1929.79,import,183407.24
2024-01-08 00:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 00:00:00,NO4,536.54,import,8691.95
2024-01-08 00:00:00,FI,-1500.0,export,-124125.0
2024-01-08 00:00:00,DK1,-740.0,export,-72283.2
2024-01-08 00:00:00,DK2,-1595.94,export,-156098.89
2024-01-08 00:00:00,PL,-600.0,export,-63798.0
2024-01-08 00:00:00,LT,-700.0,export,-72037.0
2024-01-08 00:00:00,DE,-615.0,export,-60386.85
2024-01-08 01:00:00,NO1,1933.85,import,183793.1
2024-01-08 01:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 01:00:00,NO4,317.68,import,5146.42
2024-01-08 01:00:00,FI,-1500.0,export,-124125.0
2024-01-08 01:00:00,DK1,-740.0,export,-72283.2
2024-01-08 01:00:00,DK2,-1400.32,export,-136965.3
2024-01-08 01:00:00,PL,-600.0,export,-63798.0
2024-01-08 01:00:00,LT,-700.0,export,-72037.0
2024-01-08 01:00:00,DE,-615.0,export,-60386.85
2024-01-08 02:00:00,NO1,1993.45,import,189457.49
2024-01-08 02:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 02:00:00,NO4,226.69,import,3672.38
2024-01-08 02:00:00,FI,-1500.0,export,-124125.0
2024-01-08 02:00:00,DK1,-740.0,export,-72283.2
2024-01-08 02:00:00,DK2,-1327.51,export,-129843.75
2024-01-08 02:00:00,PL,-600.0,export,-63798.0
2024-01-08 02:00:00,LT,-700.0,export,-72037.0
2024-01-08 02:00:00,DE,-615.0,export,-60386.85
2024-01-08 03:00:00,NO1,2008.55,import,190892.59
2024-01-08 03:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 03:00:00,NO4,182.29,import,2953.1
2024-01-08 03:00:00,FI,-1500.0,export,-124125.0
2024-01-08 03:00:00,DK1,-740.0,export,-72283.2
2024-01-08 03:00:00,DK2,-1238.81,export,-121168.01
2024-01-08 03:00:00,PL,-600.0,export,-63798.0
2024-01-08 03:00:00,LT,-700.0,export,-72037.0
2024-01-08 03:00:00,DE,-615.0,export,-60386.85
2024-01-08 04:00:00,NO1,2145.0,import,203860.8
2024-01-08 04:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 04:00:00,NO4,-71.31,export,-1155.22
2024-01-08 04:00:00,FI,-1500.0,export,-124125.0
2024-01-08 04:00:00,DK1,-609.13,export,-59499.82
2024-01-08 04:00:00,DK2,-1019.05,export,-99673.28
2024-01-08 04:00:00,PL,-600.0,export,-63798.0
2024-01-08 04:00:00,LT,-700.0,export,-72037.0
2024-01-08 04:00:00,DE,-615.0,export,-60386.85
2024-01-08 05:00:00,NO1,2145.0,import,203860.8
2024-01-08 05:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 05:00:00,NO4,-297.97,export,-4827.11
2024-01-08 05:00:00,FI,-1500.0,export,-124125.0
2024-01-08 05:00:00,DK1,131.0,import,12796.08
2024-01-08 05:00:00,DK2,-643.01,export,-62892.81
2024-01-08 05:00:00,PL,-600.0,export,-63798.0
2024-01-08 05:00:00,LT,-700.0,export,-72037.0
2024-01-08 05:00:00,DE,-615.0,export,-60386.85
2024-01-08 06:00:00,NO1,2145.0,import,203860.8
2024-01-08 06:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 06:00:00,NO4,-207.91,export,-3368.14
2024-01-08 06:00:00,FI,-1500.0,export,-124125.0
2024-01-08 06:00:00,DK1,687.6,import,67164.77
2024-01-08 06:00:00,DK2,-186.42,export,-18233.74
2024-01-08 06:00:00,PL,-600.0,export,-63798.0
2024-01-08 06:00:00,LT,-700.0,export,-72037.0
2024-01-08 06:00:00,DE,-615.0,export,-60386.85
2024-01-08 07:00:00,NO1,2145.0,import,203860.8
2024-01-08 07:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 07:00:00,NO4,120.27,import,1948.37
2024-01-08 07:00:00,FI,-1500.0,export,-124125.0
2024-01-08 07:00:00,DK1,740.0,import,72283.2
2024-01-08 07:00:00,DK2,167.39,import,16372.42
2024-01-08 07:00:00,PL,-600.0,export,-63798.0
2024-01-08 07:00:00,LT,-700.0,export,-72037.0
2024-01-08 07:00:00,DE,-615.0,export,-60386.85
2024-01-08 08:00:00,NO1,2145.0,import,203860.8
2024-01-08 08:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 08:00:00,NO4,-99.44,export,-1610.93
2024-01-08 08:00:00,FI,-1500.0,export,-124125.0
2024-01-08 08:00:00,DK1,664.81,import,64938.64
2024-01-08 08:00:00,DK2,96.36,import,9424.97
2024-01-08 08:00:00,PL,-600.0,export,-63798.0
2024-01-08 08:00:00,LT,-700.0,export,-72037.0
2024-01-08 08:00:00,DE,-615.0,export,-60386.85
2024-01-08 09:00:00,NO1,2145.0,import,203860.8
2024-01-08 09:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 09:00:00,NO4,131.66,import,2132.89
2024-01-08 09:00:00,FI,-1500.0,export,-124125.0
2024-01-08 09:00:00,DK1,661.34,import,64599.69
2024-01-08 09:00:00,DK2,-25.9,export,-2533.28
