timestep,line,flow_mw,capacity_mw,utilization_pct
2024-01-08 00:00:00,L_SE1_SE2,1513.56,3300.0,45.87
2024-01-08 00:00:00,L_SE2_SE3,7872.16,7300.0,100.0
2024-01-08 00:00:00,L_SE3_SE4,1789.06,5300.0,33.76
2024-01-08 00:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-01-08 00:00:00,L_NO3_SE2,900.54,1000.0,90.05
2024-01-08 00:00:00,L_NO1_SE3,-1064.47,2145.0,49.63
2024-01-08 00:00:00,L_FI_SE1,-593.7,1500.0,39.58
2024-01-08 00:00:00,L_FI_SE3,2093.7,1200.0,100.0
2024-01-08 00:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-01-08 00:00:00,L_DK2_SE4,1595.94,1700.0,93.88
2024-01-08 00:00:00,L_PL_SE4,600.0,600.0,100.0
2024-01-08 00:00:00,L_LT_SE4,700.0,700.0,100.0
2024-01-08 00:00:00,L_DE_SE4,615.0,615.0,100.0
2024-01-08 01:00:00,L_SE1_SE2,1470.76,3300.0,44.57
2024-01-08 01:00:00,L_SE2_SE3,7971.3,7300.0,100.0
2024-01-08 01:00:00,L_SE3_SE4,1984.68,5300.0,37.45
2024-01-08 01:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-01-08 01:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-01-08 01:00:00,L_NO1_SE3,-1056.01,2145.0,49.23
2024-01-08 01:00:00,L_FI_SE1,-606.54,1500.0,40.44
2024-01-08 01:00:00,L_FI_SE3,2106.54,1200.0,100.0
2024-01-08 01:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-01-08 01:00:00,L_DK2_SE4,1400.32,1700.0,82.37
2024-01-08 01:00:00,L_PL_SE4,600.0,600.0,100.0
2024-01-08 01:00:00,L_LT_SE4,700.0,700.0,100.0
2024-01-08 01:00:00,L_DE_SE4,615.0,615.0,100.0
2024-01-08 02:00:00,L_SE1_SE2,1570.7,3300.0,47.6
2024-01-08 02:00:00,L_SE2_SE3,7929.55,7300.0,100.0
2024-01-08 02:00:00,L_SE3_SE4,2057.49,5300.0,38.82
2024-01-08 02:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-01-08 02:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-01-08 02:00:00,L_NO1_SE3,-1157.36,2145.0,53.96
2024-01-08 02:00:00,L_FI_SE1,-606.54,1500.0,40.44
2024-01-08 02:00:00,L_FI_SE3,2106.54,1200.0,100.0
2024-01-08 02:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-01-08 02:00:00,L_DK2_SE4,1327.51,1700.0,78.09
2024-01-08 02:00:00,L_PL_SE4,600.0,600.0,100.0
2024-01-08 02:00:00,L_LT_SE4,700.0,700.0,100.0
2024-01-08 02:00:00,L_DE_SE4,615.0,615.0,100.0
2024-01-08 03:00:00,L_SE1_SE2,1607.44,3300.0,48.71
