timestep,neighbor,flow_mw,direction,cost_eur
2024-01-08 00:00:00,NO1,1064.47,import,101167.06
2024-01-08 00:00:00,NO3,-900.54,export,-49430.54
2024-01-08 00:00:00,NO4,600.0,import,9720.0
2024-01-08 00:00:00,FI,-1500.0,export,-124125.0
2024-01-08 00:00:00,DK1,-740.0,export,-72283.2
2024-01-08 00:00:00,DK2,-1595.94,export,-156098.89
2024-01-08 00:00:00,PL,-600.0,export,-63798.0
2024-01-08 00:00:00,LT,-700.0,export,-72037.0
2024-01-08 00:00:00,DE,-615.0,export,-60386.85
2024-01-08 01:00:00,NO1,1056.01,import,100363.5
2024-01-08 01:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 01:00:00,NO4,600.0,import,9720.0
2024-01-08 01:00:00,FI,-1500.0,export,-124125.0
2024-01-08 01:00:00,DK1,-740.0,export,-72283.2
2024-01-08 01:00:00,DK2,-1400.32,export,-136965.3
2024-01-08 01:00:00,PL,-600.0,export,-63798.0
2024-01-08 01:00:00,LT,-700.0,export,-72037.0
2024-01-08 01:00:00,DE,-615.0,export,-60386.85
2024-01-08 02:00:00,NO1,1157.36,import,109995.53
2024-01-08 02:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 02:00:00,NO4,600.0,import,9720.0
2024-01-08 02:00:00,FI,-1500.0,export,-124125.0
2024-01-08 02:00:00,DK1,-740.0,export,-72283.2
2024-01-08 02:00:00,DK2,-1327.51,export,-129843.75
2024-01-08 02:00:00,PL,-600.0,export,-63798.0
2024-01-08 02:00:00,LT,-700.0,export,-72037.0
2024-01-08 02:00:00,DE,-615.0,export,-60386.85
2024-01-08 03:00:00,NO1,1182.68,import,112401.48
2024-01-08 03:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 03:00:00,NO4,584.96,import,9476.42
2024-01-08 03:00:00,FI,-1500.0,export,-124125.0
2024-01-08 03:00:00,DK1,-740.0,export,-72283.2
2024-01-08 03:00:00,DK2,-1238.81,export,-121168.01
2024-01-08 03:00:00,PL,-600.0,export,-63798.0
2024-01-08 03:00:00,LT,-700.0,export,-72037.0
2024-01-08 03:00:00,DE,-615.0,export,-60386.85
2024-01-08 04:00:00,NO1,1356.97,import,128966.51
2024-01-08 04:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 04:00:00,NO4,424.39,import,6875.1
2024-01-08 04:00:00,FI,-1500.0,export,-124125.0
2024-01-08 04:00:00,DK1,-740.0,export,-72283.2
2024-01-08 04:00:00,DK2,-1019.05,export,-99673.28
2024-01-08 04:00:00,PL,-600.0,export,-63798.0
2024-01-08 04:00:00,LT,-700.0,export,-72037.0
2024-01-08 04:00:00,DE,-615.0,export,-60386.85
2024-01-08 05:00:00,NO1,1879.82,import,178658.04
2024-01-08 05:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 05:00:00,NO4,415.01,import,6723.17
2024-01-08 05:00:00,FI,-1500.0,export,-124125.0
2024-01-08 05:00:00,DK1,-740.0,export,-72283.2
2024-01-08 05:00:00,DK2,-643.01,export,-62892.81
2024-01-08 05:00:00,PL,-600.0,export,-63798.0
2024-01-08 05:00:00,LT,-700.0,export,-72037.0
2024-01-08 05:00:00,DE,-615.0,export,-60386.85
2024-01-08 06:00:00,NO1,2145.0,import,203860.8
2024-01-08 06:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 06:00:00,NO4,460.58,import,7461.41
2024-01-08 06:00:00,FI,-1500.0,export,-124125.0
2024-01-08 06:00:00,DK1,-512.4,export,-50051.23
2024-01-08 06:00:00,DK2,-186.42,export,-18233.74
2024-01-08 06:00:00,PL,-600.0,export,-63798.0
2024-01-08 06:00:00,LT,-700.0,export,-72037.0
2024-01-08 06:00:00,DE,-615.0,export,-60386.85
2024-01-08 07:00:00,NO1,2145.0,import,203860.8
2024-01-08 07:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 07:00:00,NO4,600.0,import,9720.0
2024-01-08 07:00:00,FI,-1500.0,export,-124125.0
2024-01-08 07:00:00,DK1,-221.72,export,-21658.03
2024-01-08 07:00:00,DK2,18.88,import,1846.65
2024-01-08 07:00:00,PL,-600.0,export,-63798.0
2024-01-08 07:00:00,LT,-700.0,export,-72037.0
2024-01-08 07:00:00,DE,-615.0,export,-60386.85
2024-01-08 08:00:00,NO1,2145.0,import,203860.8
2024-01-08 08:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 08:00:00,NO4,359.14,import,5818.14
2024-01-08 08:00:00,FI,-1500.0,export,-124125.0
2024-01-08 08:00:00,DK1,-402.57,export,-39323.46
2024-01-08 08:00:00,DK2,96.36,import,9424.97
2024-01-08 08:00:00,PL,-600.0,export,-63798.0
2024-01-08 08:00:00,LT,-700.0,export,-72037.0
2024-01-08 08:00:00,DE,-615.0,export,-60386.85
2024-01-08 09:00:00,NO1,2145.0,import,203860.8
2024-01-08 09:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 09:00:00,NO4,528.26,import,8557.77
2024-01-08 09:00:00,FI,-1500.0,export,-124125.0
2024-01-08 09:00:00,DK1,-344.06,export,-33607.53
2024-01-08 09:00:00,DK2,-25.9,export,-2533.28
2024-01-08 09:00:00,PL,-600.0,export,-63798.0
2024-01-08 09:00:00,LT,-700.0,export,-72037.0
2024-01-08 09:00:00,DE,-615.0,export,-60386.85
2024-01-08 10:00:00,NO1,2145.0,import,203860.8
2024-01-08 10:00:00,NO3,-861.58,export,-47291.9
2024-01-08 10:00:00,NO4,600.0,import,9720.0
2024-01-08 10:00:00,FI,-1500.0,export,-124125.0
2024-01-08 10:00:00,DK1,-563.89,export,-55081.18
2024-01-08 10:00:00,DK2,-229.67,export,-22464.02
2024-01-08 10:00:00,PL,-600.0,export,-63798.0
2024-01-08 10:00:00,LT,-700.0,export,-72037.0
2024-01-08 10:00:00,DE,-615.0,export,-60386.85
2024-01-08 11:00:00,NO1,2036.69,import,193566.93
2024-01-08 11:00:00,NO3,-736.71,export,-40437.96
2024-01-08 11:00:00,NO4,600.0,import,9720.0
2024-01-08 11:00:00,FI,-1500.0,export,-124125.0
2024-01-08 11:00:00,DK1,-740.0,export,-72283.2
2024-01-08 11:00:00,DK2,-381.37,export,-37301.8
2024-01-08 11:00:00,PL,-600.0,export,-63798.0
2024-01-08 11:00:00,LT,-700.0,export,-72037.0
2024-01-08 11:00:00,DE,-615.0,export,-60386.85
2024-01-08 12:00:00,NO1,1910.33,import,181557.94
2024-01-08 12:00:00,NO3,-567.54,export,-31152.37
2024-01-08 12:00:00,NO4,600.0,import,9720.0
2024-01-08 12:00:00,FI,-1500.0,export,-124125.0
2024-01-08 12:00:00,DK1,-740.0,export,-72283.2
2024-01-08 12:00:00,DK2,-505.58,export,-49450.78
2024-01-08 12:00:00,PL,-600.0,export,-63798.0
2024-01-08 12:00:00,LT,-700.0,export,-72037.0
2024-01-08 12:00:00,DE,-615.0,export,-60386.85
2024-01-08 13:00:00,NO1,1877.2,import,178409.56
2024-01-08 13:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 13:00:00,NO4,600.0,import,9720.0
2024-01-08 13:00:00,FI,-1500.0,export,-124125.0
2024-01-08 13:00:00,DK1,-740.0,export,-72283.2
2024-01-08 13:00:00,DK2,-568.28,export,-55583.47
2024-01-08 13:00:00,PL,-600.0,export,-63798.0
2024-01-08 13:00:00,LT,-700.0,export,-72037.0
2024-01-08 13:00:00,DE,-615.0,export,-60386.85
2024-01-08 14:00:00,NO1,1921.29,import,182599.32
2024-01-08 14:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 14:00:00,NO4,600.0,import,9720.0
2024-01-08 14:00:00,FI,-1500.0,export,-124125.0
2024-01-08 14:00:00,DK1,-740.0,export,-72283.2
2024-01-08 14:00:00,DK2,-505.22,export,-49415.57
2024-01-08 14:00:00,PL,-600.0,export,-63798.0
2024-01-08 14:00:00,LT,-700.0,export,-72037.0
2024-01-08 14:00:00,DE,-615.0,export,-60386.85
2024-01-08 15:00:00,NO1,1943.04,import,184666.72
2024-01-08 15:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 15:00:00,NO4,416.37,import,6745.16
2024-01-08 15:00:00,FI,-1500.0,export,-124125.0
2024-01-08 15:00:00,DK1,-740.0,export,-72283.2
2024-01-08 15:00:00,DK2,-482.59,export,-47202.13
2024-01-08 15:00:00,PL,-600.0,export,-63798.0
2024-01-08 15:00:00,LT,-700.0,export,-72037.0
2024-01-08 15:00:00,DE,-615.0,export,-60386.85
2024-01-08 16:00:00,NO1,2005.67,import,190618.51
2024-01-08 16:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 16:00:00,NO4,506.17,import,8200.02
2024-01-08 16:00:00,FI,-1500.0,export,-124125.0
2024-01-08 16:00:00,DK1,-740.0,export,-72283.2
2024-01-08 16:00:00,DK2,-454.79,export,-44483.01
2024-01-08 16:00:00,PL,-600.0,export,-63798.0
2024-01-08 16:00:00,LT,-700.0,export,-72037.0
2024-01-08 16:00:00,DE,-615.0,export,-60386.85
2024-01-08 17:00:00,NO1,1889.09,import,179539.29
2024-01-08 17:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 17:00:00,NO4,542.0,import,8780.37
2024-01-08 17:00:00,FI,-1500.0,export,-124125.0
2024-01-08 17:00:00,DK1,-740.0,export,-72283.2
2024-01-08 17:00:00,DK2,-531.93,export,-52028.07
2024-01-08 17:00:00,PL,-600.0,export,-63798.0
2024-01-08 17:00:00,LT,-700.0,export,-72037.0
2024-01-08 17:00:00,DE,-615.0,export,-60386.85
2024-01-08 18:00:00,NO1,1625.79,import,154514.65
2024-01-08 18:00:00,NO3,-1000.0,export,-54890.0
2024-01-08 18:00:00,NO4,600.0,import,9720.0
2024-01-08 18:00:00,FI,-1500.0,export,-124125.0
2024-01-08 18:00:00,DK1,-740.0,export,-72283.2
2024-01-08 18:00:00,DK2,-605.8,export,-59253.3
2024-01-08 18:00:00,PL,-600.0,export,-63798.0
2024-01-08 18:00:00,LT,-700.0,export,-72037.0
2024-01-08 18:00:00,DE,-615.0,export,-60386.85
2024-01-08 19:00:00,NO1,1312.34,import,124724.85
2024-01-08 19:00:00,NO3,-921.63,export,-50588.31
2024-01-08 19:00:00,NO4,600.0,import,9720.0
2024-01-08 19:00:00,FI,-1500.0,export,-124125.0
2024-01-08 19:00:00,DK1,-740.0,export,-72283.2
2024-01-08 19:00:00,DK2,-663.52,export,-64898.89
2024-01-08 19:00:00,PL,-600.0,export,-63798.0
2024-01-08 19:00:00,LT,-700.0,export,-72037.0
2024-01-08 19:00:00,DE,-615.0,export,-60386.85
2024-01-08 20:00:00,NO1,922.56,import,87679.95
2024-01-08 20:00:00,NO3,-780.6,export,-42847.04
2024-01-08 20:00:00,NO4,600.0,import,9720.0
2024-01-08 20:00:00,FI,-1500.0,export,-124125.0
2024-01-08 20:00:00,DK1,-740.0,export,-72283.2
2024-01-08 20:00:00,DK2,-730.23,export,-71423.8
2024-01-08 20:00:00,PL,-600.0,export,-63798.0
2024-01-08 20:00:00,LT,-700.0,export,-72037.0
2024-01-08 20:00:00,DE,-615.0,export,-60386.85
2024-01-08 21:00:00,NO1,195.28,import,18559.03
2024-01-08 21:00:00,NO3,-660.94,export,-36278.77
2024-01-08 21:00:00,NO4,600.0,import,9720.0
2024-01-08 21:00:00,FI,-1500.0,export,-124125.0
2024-01-08 21:00:00,DK1,-740.0,export,-72283.2
2024-01-08 21:00:00,DK2,-804.87,export,-78724.33
2024-01-08 21:00:00,PL,-600.0,export,-63798.0
2024-01-08 21:00:00,LT,-700.0,export,-72037.0
2024-01-08 21:00:00,DE,-615.0,export,-60386.85
2024-01-08 22:00:00,NO1,-282.13,export,-26813.47
2024-01-08 22:00:00,NO3,-416.64,export,-22869.47
2024-01-08 22:00:00,NO4,600.0,import,9720.0
2024-01-08 22:00:00,FI,-1500.0,export,-124125.0
2024-01-08 22:00:00,DK1,-740.0,export,-72283.2
2024-01-08 22:00:00,DK2,-955.36,export,-93443.76
2024-01-08 22:00:00,PL,-600.0,export,-63798.0
2024-01-08 22:00:00,LT,-700.0,export,-72037.0
2024-01-08 22:00:00,DE,-615.0,export,-60386.85
2024-01-08 23:00:00,NO1,-664.74,export,-63176.43
2024-01-08 23:00:00,NO3,297.21,import,16313.59
2024-01-08 23:00:00,NO4,600.0,import,9720.0
2024-01-08 23:00:00,FI,-1500.0,export,-124125.0
2024-01-08 23:00:00,DK1,-740.0,export,-72283.2
2024-01-08 23:00:00,DK2,-1194.99,export,-116881.97
2024-01-08 23:00:00,PL,-600.0,export,-63798.0
2024-01-08 23:00:00,LT,-700.0,export,-72037.0
2024-01-08 23:00:00,DE,-615.0,export,-60386.85
2024-01-09 00:00:00,NO1,-788.38,export,-74927.43
2024-01-09 00:00:00,NO3,293.54,import,16112.29
2024-01-09 00:00:00,NO4,600.0,import,9720.0
2024-01-09 00:00:00,FI,-1500.0,export,-124125.0
2024-01-09 00:00:00,DK1,-740.0,export,-72283.2
2024-01-09 00:00:00,DK2,-1268.81,export,-124102.31
2024-01-09 00:00:00,PL,-600.0,export,-63798.0
2024-01-09 00:00:00,LT,-700.0,export,-72037.0
2024-01-09 00:00:00,DE,-615.0,export,-60386.85
2024-01-09 01:00:00,NO1,-972.55,export,-92430.74
2024-01-09 01:00:00,NO3,477.58,import,26214.13
2024-01-09 01:00:00,NO4,600.0,import,9720.0
2024-01-09 01:00:00,FI,-1500.0,export,-124125.0
2024-01-09 01:00:00,DK1,-740.0,export,-72283.2
2024-01-09 01:00:00,DK2,-1348.76,export,-131922.22
2024-01-09 01:00:00,PL,-600.0,export,-63798.0
