timestep,line,flow_mw,capacity_mw,utilization_pct
2024-07-15 00:00:00,L_SE1_SE2,2348.15,3300.0,71.16
2024-07-15 00:00:00,L_SE2_SE3,5390.19,7300.0,73.84
2024-07-15 00:00:00,L_SE3_SE4,4513.75,5300.0,85.17
2024-07-15 00:00:00,L_NO1_SE3,-1124.61,2145.0,52.43
2024-07-15 00:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-15 00:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-15 00:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-15 00:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-15 00:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-15 00:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-15 00:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-15 00:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-15 01:00:00,L_SE1_SE2,2260.49,3300.0,68.5
2024-07-15 01:00:00,L_SE2_SE3,5058.7,7300.0,69.3
2024-07-15 01:00:00,L_SE3_SE4,4504.57,5300.0,84.99
2024-07-15 01:00:00,L_NO1_SE3,-954.42,2145.0,44.5
2024-07-15 01:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-15 01:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-15 01:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-15 01:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-15 01:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-15 01:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-15 01:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-15 01:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-15 02:00:00,L_SE1_SE2,2334.57,3300.0,70.74
2024-07-15 02:00:00,L_SE2_SE3,5144.57,7300.0,70.47
2024-07-15 02:00:00,L_SE3_SE4,4521.9,5300.0,85.32
2024-07-15 02:00:00,L_NO1_SE3,-1085.04,2145.0,50.58
2024-07-15 02:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-15 02:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-15 02:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-15 02:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-15 02:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
