timestep,plant,generation_mw
2024-07-15 00:00:00,SE1_hydro,596.35
2024-07-15 00:00:00,SE1_wind,474.8
2024-07-15 00:00:00,SE1_chp_district,0.0
2024-07-15 00:00:00,SE1_chp_industry,0.0
2024-07-15 00:00:00,SE1_gasturbine,0.0
2024-07-15 00:00:00,SE1_solar,0.0
2024-07-15 00:00:00,SE2_hydro,1975.33
2024-07-15 00:00:00,SE2_wind,1535.71
2024-07-15 00:00:00,SE2_chp_district,0.0
2024-07-15 00:00:00,SE2_chp_industry,0.0
2024-07-15 00:00:00,SE2_gasturbine,0.0
2024-07-15 00:00:00,SE2_solar,0.0
2024-07-15 00:00:00,SE3_hydro,1233.86
2024-07-15 00:00:00,SE3_nuclear,4716.0
2024-07-15 00:00:00,SE3_wind,971.04
2024-07-15 00:00:00,SE3_chp_district,0.0
2024-07-15 00:00:00,SE3_chp_industry,0.0
2024-07-15 00:00:00,SE3_gasturbine,0.0
2024-07-15 00:00:00,SE3_solar,0.27
2024-07-15 00:00:00,SE4_hydro,119.37
2024-07-15 00:00:00,SE4_wind,579.51
2024-07-15 00:00:00,SE4_chp_district,0.0
2024-07-15 00:00:00,SE4_chp_industry,0.0
2024-07-15 00:00:00,SE4_gasturbine,0.0
2024-07-15 00:00:00,SE4_condensing,0.0
2024-07-15 00:00:00,SE4_solar,0.37
2024-07-15 01:00:00,SE1_hydro,571.24
2024-07-15 01:00:00,SE1_wind,432.19
2024-07-15 01:00:00,SE1_chp_district,0.0
2024-07-15 01:00:00,SE1_chp_industry,0.0
2024-07-15 01:00:00,SE1_gasturbine,0.0
2024-07-15 01:00:00,SE1_solar,0.06
2024-07-15 01:00:00,SE2_hydro,1986.23
2024-07-15 01:00:00,SE2_wind,1240.97
2024-07-15 01:00:00,SE2_chp_district,0.0
2024-07-15 01:00:00,SE2_chp_industry,0.0
2024-07-15 01:00:00,SE2_gasturbine,0.0
2024-07-15 01:00:00,SE2_solar,0.01
2024-07-15 01:00:00,SE3_hydro,1239.15
2024-07-15 01:00:00,SE3_nuclear,4717.0
2024-07-15 01:00:00,SE3_wind,984.87
