timestep,neighbor,flow_mw,direction,cost_eur
2024-07-15 00:00:00,NO1,-1124.61,export,-28182.73
2024-07-15 00:00:00,NO3,1000.0,import,22170.0
2024-07-15 00:00:00,NO4,600.0,import,3924.0
2024-07-15 00:00:00,FI,1500.0,import,25335.0
2024-07-15 00:00:00,DK1,-740.0,export,-49639.2
2024-07-15 00:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 00:00:00,PL,-600.0,export,-74472.0
2024-07-15 00:00:00,LT,-700.0,export,-70427.0
2024-07-15 00:00:00,DE,-615.0,export,-43517.4
2024-07-15 01:00:00,NO1,-954.42,export,-23917.77
2024-07-15 01:00:00,NO3,1000.0,import,22170.0
2024-07-15 01:00:00,NO4,600.0,import,3924.0
2024-07-15 01:00:00,FI,1500.0,import,25335.0
2024-07-15 01:00:00,DK1,-740.0,export,-49639.2
2024-07-15 01:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 01:00:00,PL,-600.0,export,-74472.0
2024-07-15 01:00:00,LT,-700.0,export,-70427.0
2024-07-15 01:00:00,DE,-615.0,export,-43517.4
2024-07-15 02:00:00,NO1,-1085.04,export,-27191.1
2024-07-15 02:00:00,NO3,1000.0,import,22170.0
2024-07-15 02:00:00,NO4,600.0,import,3924.0
2024-07-15 02:00:00,FI,1500.0,import,25335.0
2024-07-15 02:00:00,DK1,-740.0,export,-49639.2
2024-07-15 02:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 02:00:00,PL,-600.0,export,-74472.0
2024-07-15 02:00:00,LT,-700.0,export,-70427.0
2024-07-15 02:00:00,DE,-615.0,export,-43517.4
2024-07-15 03:00:00,NO1,-1168.1,export,-29272.59
2024-07-15 03:00:00,NO3,1000.0,import,22170.0
2024-07-15 03:00:00,NO4,600.0,import,3924.0
2024-07-15 03:00:00,FI,1500.0,import,25335.0
2024-07-15 03:00:00,DK1,-740.0,export,-49639.2
2024-07-15 03:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 03:00:00,PL,-600.0,export,-74472.0
2024-07-15 03:00:00,LT,-700.0,export,-70427.0
2024-07-15 03:00:00,DE,-615.0,export,-43517.4
2024-07-15 04:00:00,NO1,-1723.27,export,-43185.15
2024-07-15 04:00:00,NO3,1000.0,import,22170.0
2024-07-15 04:00:00,NO4,600.0,import,3924.0
2024-07-15 04:00:00,FI,1500.0,import,25335.0
2024-07-15 04:00:00,DK1,-740.0,export,-49639.2
2024-07-15 04:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 04:00:00,PL,-600.0,export,-74472.0
2024-07-15 04:00:00,LT,-700.0,export,-70427.0
2024-07-15 04:00:00,DE,-615.0,export,-43517.4
2024-07-15 05:00:00,NO1,-1869.6,export,-46852.18
2024-07-15 05:00:00,NO3,1000.0,import,22170.0
2024-07-15 05:00:00,NO4,600.0,import,3924.0
2024-07-15 05:00:00,FI,1500.0,import,25335.0
2024-07-15 05:00:00,DK1,-740.0,export,-49639.2
2024-07-15 05:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 05:00:00,PL,-600.0,export,-74472.0
2024-07-15 05:00:00,LT,-700.0,export,-70427.0
2024-07-15 05:00:00,DE,-615.0,export,-43517.4
2024-07-15 06:00:00,NO1,-1492.82,export,-37410.1
2024-07-15 06:00:00,NO3,885.91,import,19640.65
2024-07-15 06:00:00,NO4,600.0,import,3924.0
2024-07-15 06:00:00,FI,1500.0,import,25335.0
2024-07-15 06:00:00,DK1,-740.0,export,-49639.2
2024-07-15 06:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 06:00:00,PL,-600.0,export,-74472.0
2024-07-15 06:00:00,LT,-700.0,export,-70427.0
2024-07-15 06:00:00,DE,-615.0,export,-43517.4
2024-07-15 07:00:00,NO1,-1311.59,export,-32868.45
2024-07-15 07:00:00,NO3,1000.0,import,22170.0
2024-07-15 07:00:00,NO4,600.0,import,3924.0
2024-07-15 07:00:00,FI,1500.0,import,25335.0
2024-07-15 07:00:00,DK1,-740.0,export,-49639.2
2024-07-15 07:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 07:00:00,PL,-600.0,export,-74472.0
2024-07-15 07:00:00,LT,-700.0,export,-70427.0
2024-07-15 07:00:00,DE,-615.0,export,-43517.4
2024-07-15 08:00:00,NO1,-1160.2,export,-29074.61
2024-07-15 08:00:00,NO3,1000.0,import,22170.0
2024-07-15 08:00:00,NO4,600.0,import,3924.0
2024-07-15 08:00:00,FI,1500.0,import,25335.0
2024-07-15 08:00:00,DK1,-740.0,export,-49639.2
2024-07-15 08:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 08:00:00,PL,-600.0,export,-74472.0
2024-07-15 08:00:00,LT,-700.0,export,-70427.0
2024-07-15 08:00:00,DE,-615.0,export,-43517.4
2024-07-15 09:00:00,NO1,-162.32,export,-4067.74
2024-07-15 09:00:00,NO3,1000.0,import,22170.0
2024-07-15 09:00:00,NO4,600.0,import,3924.0
2024-07-15 09:00:00,FI,1500.0,import,25335.0
2024-07-15 09:00:00,DK1,-740.0,export,-49639.2
2024-07-15 09:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 09:00:00,PL,-600.0,export,-74472.0
2024-07-15 09:00:00,LT,-700.0,export,-70427.0
2024-07-15 09:00:00,DE,-615.0,export,-43517.4
2024-07-15 10:00:00,NO1,377.24,import,9453.63
2024-07-15 10:00:00,NO3,1000.0,import,22170.0
2024-07-15 10:00:00,NO4,600.0,import,3924.0
2024-07-15 10:00:00,FI,1500.0,import,25335.0
2024-07-15 10:00:00,DK1,-740.0,export,-49639.2
2024-07-15 10:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 10:00:00,PL,-600.0,export,-74472.0
2024-07-15 10:00:00,LT,-700.0,export,-70427.0
2024-07-15 10:00:00,DE,-615.0,export,-43517.4
2024-07-15 11:00:00,NO1,597.55,import,14974.6
2024-07-15 11:00:00,NO3,1000.0,import,22170.0
2024-07-15 11:00:00,NO4,600.0,import,3924.0
2024-07-15 11:00:00,FI,1500.0,import,25335.0
2024-07-15 11:00:00,DK1,-740.0,export,-49639.2
2024-07-15 11:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 11:00:00,PL,-600.0,export,-74472.0
2024-07-15 11:00:00,LT,-700.0,export,-70427.0
2024-07-15 11:00:00,DE,-615.0,export,-43517.4
2024-07-15 12:00:00,NO1,324.85,import,8140.74
2024-07-15 12:00:00,NO3,1000.0,import,22170.0
2024-07-15 12:00:00,NO4,600.0,import,3924.0
2024-07-15 12:00:00,FI,1500.0,import,25335.0
2024-07-15 12:00:00,DK1,-740.0,export,-49639.2
2024-07-15 12:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 12:00:00,PL,-600.0,export,-74472.0
2024-07-15 12:00:00,LT,-700.0,export,-70427.0
2024-07-15 12:00:00,DE,-615.0,export,-43517.4
2024-07-15 13:00:00,NO1,-8.18,export,-204.99
2024-07-15 13:00:00,NO3,1000.0,import,22170.0
2024-07-15 13:00:00,NO4,600.0,import,3924.0
2024-07-15 13:00:00,FI,1500.0,import,25335.0
2024-07-15 13:00:00,DK1,-740.0,export,-49639.2
2024-07-15 13:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 13:00:00,PL,-600.0,export,-74472.0
2024-07-15 13:00:00,LT,-700.0,export,-70427.0
2024-07-15 13:00:00,DE,-615.0,export,-43517.4
2024-07-15 14:00:00,NO1,-1382.95,export,-34656.73
2024-07-15 14:00:00,NO3,1000.0,import,22170.0
2024-07-15 14:00:00,NO4,600.0,import,3924.0
2024-07-15 14:00:00,FI,1500.0,import,25335.0
2024-07-15 14:00:00,DK1,-740.0,export,-49639.2
2024-07-15 14:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 14:00:00,PL,-600.0,export,-74472.0
2024-07-15 14:00:00,LT,-700.0,export,-70427.0
2024-07-15 14:00:00,DE,-615.0,export,-43517.4
2024-07-15 15:00:00,NO1,-1465.65,export,-36729.17
2024-07-15 15:00:00,NO3,917.41,import,20338.97
2024-07-15 15:00:00,NO4,600.0,import,3924.0
2024-07-15 15:00:00,FI,1500.0,import,25335.0
2024-07-15 15:00:00,DK1,-740.0,export,-49639.2
2024-07-15 15:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 15:00:00,PL,-600.0,export,-74472.0
2024-07-15 15:00:00,LT,-700.0,export,-70427.0
2024-07-15 15:00:00,DE,-615.0,export,-43517.4
2024-07-15 16:00:00,NO1,-1164.8,export,-29189.82
2024-07-15 16:00:00,NO3,612.97,import,13589.48
2024-07-15 16:00:00,NO4,600.0,import,3924.0
2024-07-15 16:00:00,FI,1500.0,import,25335.0
2024-07-15 16:00:00,DK1,-740.0,export,-49639.2
2024-07-15 16:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 16:00:00,PL,-600.0,export,-74472.0
2024-07-15 16:00:00,LT,-700.0,export,-70427.0
2024-07-15 16:00:00,DE,-615.0,export,-43517.4
2024-07-15 17:00:00,NO1,-1094.78,export,-27435.29
2024-07-15 17:00:00,NO3,423.15,import,9381.32
2024-07-15 17:00:00,NO4,600.0,import,3924.0
2024-07-15 17:00:00,FI,1500.0,import,25335.0
2024-07-15 17:00:00,DK1,-740.0,export,-49639.2
2024-07-15 17:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 17:00:00,PL,-600.0,export,-74472.0
2024-07-15 17:00:00,LT,-700.0,export,-70427.0
2024-07-15 17:00:00,DE,-615.0,export,-43517.4
2024-07-15 18:00:00,NO1,-1153.11,export,-28896.98
2024-07-15 18:00:00,NO3,350.55,import,7771.73
2024-07-15 18:00:00,NO4,600.0,import,3924.0
2024-07-15 18:00:00,FI,1500.0,import,25335.0
2024-07-15 18:00:00,DK1,-740.0,export,-49639.2
2024-07-15 18:00:00,DK2,-1700.0,export,-114801.0
2024-07-15 18:00:00,PL,-600.0,export,-74472.0
2024-07-15 18:00:00,LT,-700.0,export,-70427.0
2024-07-15 18:00:00,DE,-615.0,export,-43517.4
2024-07-15 19:00:00,NO1,-1325.76,export,-33223.62
