timestep,plant,availability
t0001,SE1_hydro,0.0902
t0002,SE1_hydro,0.0902
t0003,SE1_hydro,0.0902
t0004,SE1_hydro,0.0858
t0005,SE1_hydro,0.0916
t0006,SE1_hydro,0.1248
t0007,SE1_hydro,0.1675
t0008,SE1_hydro,0.1862
t0009,SE1_hydro,0.1885
t0010,SE1_hydro,0.2147
t0011,SE1_hydro,0.2234
t0012,SE1_hydro,0.2442
t0013,SE1_hydro,0.2697
t0014,SE1_hydro,0.2881
t0015,SE1_hydro,0.2914
t0016,SE1_hydro,0.3143
t0017,SE1_hydro,0.2915
t0018,SE1_hydro,0.2865
t0019,SE1_hydro,0.2958
t0020,SE1_hydro,0.2971
t0021,SE1_hydro,0.2933
t0022,SE1_hydro,0.2887
t0023,SE1_hydro,0.2848
t0024,SE1_hydro,0.2446
t0025,SE1_hydro,0.2516
t0026,SE1_hydro,0.2564
t0027,SE1_hydro,0.2564
t0028,SE1_hydro,0.256
t0029,SE1_hydro,0.2145
t0030,SE1_hydro,0.2252
t0031,SE1_hydro,0.202
t0032,SE1_hydro,0.2074
t0033,SE1_hydro,0.2076
t0034,SE1_hydro,0.221
t0035,SE1_hydro,0.2275
t0036,SE1_hydro,0.2476
t0037,SE1_hydro,0.2957
t0038,SE1_hydro,0.2472
t0039,SE1_hydro,0.2328
t0040,SE1_hydro,0.2507
t0041,SE1_hydro,0.2787
t0042,SE1_hydro,0.2889
t0043,SE1_hydro,0.2882
t0044,SE1_hydro,0.3318
t0045,SE1_hydro,0.3989
t0046,SE1_hydro,0.51
t0047,SE1_hydro,0.563
t0048,SE1_hydro,0.6609
t0049,SE1_hydro,0.695
t0050,SE1_hydro,0.6968
t0051,SE1_hydro,0.7051
t0052,SE1_hydro,0.7077
t0053,SE1_hydro,0.737
t0054,SE1_hydro,0.7385
t0055,SE1_hydro,0.7384
t0056,SE1_hydro,0.7286
t0057,SE1_hydro,0.686
t0058,SE1_hydro,0.6565
t0059,SE1_hydro,0.572
t0060,SE1_hydro,0.623
t0061,SE1_hydro,0.5488
t0062,SE1_hydro,0.6438
t0063,SE1_hydro,0.6604
t0064,SE1_hydro,0.6476
t0065,SE1_hydro,0.6596
t0066,SE1_hydro,0.629
t0067,SE1_hydro,0.5565
t0068,SE1_hydro,0.5937
t0069,SE1_hydro,0.5647
t0070,SE1_hydro,0.3586
t0071,SE1_hydro,0.2585
t0072,SE1_hydro,0.2284
t0073,SE1_hydro,0.2284
t0074,SE1_hydro,0.2286
t0075,SE1_hydro,0.2256
t0076,SE1_hydro,0.2256
t0077,SE1_hydro,0.2306
t0078,SE1_hydro,0.2499
t0079,SE1_hydro,0.2465
t0080,SE1_hydro,0.2505
t0081,SE1_hydro,0.2576
t0082,SE1_hydro,0.2604
t0083,SE1_hydro,0.2583
t0084,SE1_hydro,0.2445
t0085,SE1_hydro,0.2122
t0086,SE1_hydro,0.2503
t0087,SE1_hydro,0.2558
t0088,SE1_hydro,0.2559
t0089,SE1_hydro,0.2595
t0090,SE1_hydro,0.2585
t0091,SE1_hydro,0.2462
t0092,SE1_hydro,0.2534
t0093,SE1_hydro,0.2363
t0094,SE1_hydro,0.3422
t0095,SE1_hydro,0.3076
t0096,SE1_hydro,0.2531
t0097,SE1_hydro,0.2322
t0098,SE1_hydro,0.2073
t0099,SE1_hydro,0.1974
t0100,SE1_hydro,0.2152
t0101,SE1_hydro,0.2511
t0102,SE1_hydro,0.2505
t0103,SE1_hydro,0.3395
t0104,SE1_hydro,0.4038
t0105,SE1_hydro,0.4342
t0106,SE1_hydro,0.4369
t0107,SE1_hydro,0.4192
t0108,SE1_hydro,0.4044
t0109,SE1_hydro,0.3823
t0110,SE1_hydro,0.3478
t0111,SE1_hydro,0.3234
t0112,SE1_hydro,0.2806
t0113,SE1_hydro,0.2811
t0114,SE1_hydro,0.2725
t0115,SE1_hydro,0.3763
t0116,SE1_hydro,0.3039
t0117,SE1_hydro,0.298
t0118,SE1_hydro,0.246
t0119,SE1_hydro,0.2428
t0120,SE1_hydro,0.2247
t0121,SE1_hydro,0.2297
t0122,SE1_hydro,0.2316
t0123,SE1_hydro,0.2345
t0124,SE1_hydro,0.2346
t0125,SE1_hydro,0.2681
t0126,SE1_hydro,0.2719
t0127,SE1_hydro,0.3231
t0128,SE1_hydro,0.3869
t0129,SE1_hydro,0.4298
t0130,SE1_hydro,0.413
t0131,SE1_hydro,0.3973
t0132,SE1_hydro,0.4094
t0133,SE1_hydro,0.4372
t0134,SE1_hydro,0.4623
t0135,SE1_hydro,0.4871
t0136,SE1_hydro,0.5261
t0137,SE1_hydro,0.5411
t0138,SE1_hydro,0.5675
t0139,SE1_hydro,0.5747
t0140,SE1_hydro,0.5572
t0141,SE1_hydro,0.5607
t0142,SE1_hydro,0.5631
t0143,SE1_hydro,0.6009
t0144,SE1_hydro,0.5737
t0145,SE1_hydro,0.601
t0146,SE1_hydro,0.6008
t0147,SE1_hydro,0.5969
t0148,SE1_hydro,0.5723
t0149,SE1_hydro,0.5431
t0150,SE1_hydro,0.5423
t0151,SE1_hydro,0.5357
t0152,SE1_hydro,0.5241
t0153,SE1_hydro,0.4685
t0154,SE1_hydro,0.4339
t0155,SE1_hydro,0.3721
t0156,SE1_hydro,0.3518
t0157,SE1_hydro,0.3139
t0158,SE1_hydro,0.2719
t0159,SE1_hydro,0.2386
t0160,SE1_hydro,0.2313
t0161,SE1_hydro,0.1329
t0162,SE1_hydro,0.1532
t0163,SE1_hydro,0.2105
t0164,SE1_hydro,0.2052
t0165,SE1_hydro,0.2117
t0166,SE1_hydro,0.2203
t0167,SE1_hydro,0.2408
t0168,SE1_hydro,0.2176
t0001,SE1_wind,0.6947
t0002,SE1_wind,0.6681
t0003,SE1_wind,0.6761
t0004,SE1_wind,0.7679
t0005,SE1_wind,0.7864
t0006,SE1_wind,0.7859
t0007,SE1_wind,0.8491
t0008,SE1_wind,0.8602
t0009,SE1_wind,0.7962
t0010,SE1_wind,0.7251
t0011,SE1_wind,0.7263
t0012,SE1_wind,0.6653
t0013,SE1_wind,0.658
t0014,SE1_wind,0.6724
t0015,SE1_wind,0.6671
t0016,SE1_wind,0.6827
t0017,SE1_wind,0.6926
t0018,SE1_wind,0.6964
t0019,SE1_wind,0.6874
t0020,SE1_wind,0.6852
t0021,SE1_wind,0.6786
t0022,SE1_wind,0.6998
t0023,SE1_wind,0.7275
t0024,SE1_wind,0.73
t0025,SE1_wind,0.7351
t0026,SE1_wind,0.7547
t0027,SE1_wind,0.7765
t0028,SE1_wind,0.7916
t0029,SE1_wind,0.7749
t0030,SE1_wind,0.8006
t0031,SE1_wind,0.8298
t0032,SE1_wind,0.7982
t0033,SE1_wind,0.7522
t0034,SE1_wind,0.739
t0035,SE1_wind,0.6996
t0036,SE1_wind,0.7148
t0037,SE1_wind,0.7002
t0038,SE1_wind,0.6822
t0039,SE1_wind,0.6729
t0040,SE1_wind,0.6804
t0041,SE1_wind,0.6627
t0042,SE1_wind,0.6479
t0043,SE1_wind,0.6439
t0044,SE1_wind,0.6139
t0045,SE1_wind,0.5654
t0046,SE1_wind,0.5058
t0047,SE1_wind,0.4273
t0048,SE1_wind,0.3465
t0049,SE1_wind,0.261
t0050,SE1_wind,0.1716
t0051,SE1_wind,0.1226
t0052,SE1_wind,0.0896
t0053,SE1_wind,0.0733
t0054,SE1_wind,0.0588
t0055,SE1_wind,0.0515
t0056,SE1_wind,0.0719
t0057,SE1_wind,0.1696
t0058,SE1_wind,0.263
t0059,SE1_wind,0.3396
t0060,SE1_wind,0.4343
t0061,SE1_wind,0.5305
t0062,SE1_wind,0.5556
t0063,SE1_wind,0.5898
t0064,SE1_wind,0.6211
t0065,SE1_wind,0.6996
t0066,SE1_wind,0.7116
t0067,SE1_wind,0.7557
t0068,SE1_wind,0.7804
t0069,SE1_wind,0.8325
t0070,SE1_wind,0.8804
t0071,SE1_wind,0.8873
