index,node_i,node_j,capacity,b_other,r,x,r_pu,x_pu,contingency,voltage,technology,systems,no
L_SE1_SE2,SE1,SE2,3300.0,0.0,0.0008,0.0066,0.0008,0.0066,True,400.0,ac,1,0
L_SE2_SE3,SE2,SE3,5110.0,0.0,0.002,0.0158,0.002,0.0158,True,400.0,ac,1,0
L_SE3_SE4,SE3,SE4,5300.0,0.0,0.0002,0.0015,0.0002,0.0015,True,400.0,ac,1,0
L_NO4_SE1,NO4,SE1,600.0,0.0,0.001,0.05,0.001,0.05,True,400.0,ac,1,0
L_NO3_SE2,NO3,SE2,1000.0,0.0,0.001,0.05,0.001,0.05,True,400.0,ac,1,0
L_NO1_SE3,NO1,SE3,2145.0,0.0,0.001,0.05,0.001,0.05,True,400.0,ac,1,0
L_FI_SE1,FI,SE1,1500.0,0.0,0.001,0.05,0.001,0.05,True,400.0,dc,1,0
L_FI_SE3,FI,SE3,1200.0,0.0,0.001,0.05,0.001,0.05,True,400.0,dc,1,0
L_DK1_SE3,DK1,SE3,740.0,0.0,0.001,0.05,0.001,0.05,True,400.0,dc,1,0
L_DK2_SE4,DK2,SE4,1700.0,0.0,0.001,0.05,0.001,0.05,True,400.0,ac,1,0
L_PL_SE4,PL,SE4,600.0,0.0,0.001,0.05,0.001,0.05,True,400.0,dc,1,0
L_LT_SE4,LT,SE4,700.0,0.0,0.001,0.05,0.001,0.05,True,400.0,dc,1,0
L_DE_SE4,DE,SE4,615.0,0.0,0.001,0.05,0.001,0.05,True,400.0,dc,1,0
